,Unnamed: 0,ARTCLASS,ARTDESCRIP,BLOCKNBR,COMPKEY,DIRHI,DIRLO,FID,FLOW,INTKEYLO,INTRHI,INTRLO,NATIONHWYS,OBJECTID,ONEWAY,ONEWAYDIR,OWNER,PVMTCATEGO,PVMTCONDIN,PVMTCOND_1,SEGDIR,SEGLENGTH,SHAPE,SHAPE_Leng,SLOPE_PCT,SPEEDLIMIT,STATUS,STNAME_ORD,STREETTYPE,SURFACETYP,SURFACET_1,SURFACEWID,Shape__Length,TRANCLASS,TRANDESCRI,UNITDESC,UNITIDSORT,XSTRHI,XSTRLO
7417,7417,2,Minor Arterial,1900,8283,SE,NW,7418,F,29539,8TH AVE AND VIRGINIA ST,8TH AVE AND STEWART ST,N,6206,Y,NW, ,ART,46,0,NW,426.0,"{'paths': [[[-13618302.7872737, 6043034.04858283], [-13618447.4853929, 6043160.98655502]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",425.91192857251406,4,25,INSVC,8TH AVE,Downtown Neighborhood,AC/PCC, ,42,192.485829246996,3,MINOR TRANSIT ROUTE,8TH AVE BETWEEN STEWART ST AND VIRGINIA ST,047850190,VIRGINIA ST,STEWART ST
7418,7418,0,Not Designated,300,8289,S,N,7419, ,28789,8TH AVE N AND HARRISON ST,8TH AVE N AND THOMAS ST,N,6207,N, , ,NON-ART,79,0,N,426.0,"{'paths': [[[-13618946.335639, 6044013.59078282], [-13618945.2007907, 6044206.3886299]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",425.82236528265406,2,20,INSVC,8TH AVE N,Urban Village Neighborhood Access,PCC, ,40,192.80118702974602,0,NOT DESIGNATED,8TH AVE N BETWEEN THOMAS ST AND HARRISON ST,047900030,HARRISON ST,THOMAS ST
7450,7450,2,Minor Arterial,900,8515,SE,NW,7451, ,29938,9TH AVE AND MADISON ST,9TH AVE AND MARION ST,N,6239,N, , ,ART,47,0,NW,306.0,"{'paths': [[[-13617346.880743, 6041835.72157282], [-13617383.1033317, 6041894.43456928], [-13617419.5376599, 6041953.49511463]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",305.968883848395,5,25,INSVC,9TH AVE,Urban Village Neighborhood,AC/PCC, ,40,138.382205284235,3,MINOR TRANSIT ROUTE,9TH AVE BETWEEN MARION ST AND MADISON ST,048900090,MADISON ST,MARION ST
7452,7452,1,Principal Arterial,400,8532,S,N,7453, ,28781,9TH AVE N AND REPUBLICAN ST,9TH AVE N AND HARRISON ST,Y,6241,N, , ,ART,57,0,N,426.0,"{'paths': [[[-13618799.8143574, 6044205.53234503], [-13618798.8152941, 6044398.4318904]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",426.03584300781,1,25,INSVC,9TH AVE N,Urban Village Main,AC/PCC, ,44,192.90213252309601,3,MINOR TRANSIT ROUTE,9TH AVE N BETWEEN HARRISON ST AND REPUBLICAN ST,048950040,REPUBLICAN ST,HARRISON ST
7484,7484,1,Principal Arterial,800,8718,SE,NW,7485, ,30351,ALASKAN WAY AND MARION ST,ALASKAN WAY AND COLUMBIA ST,Y,6273,N, , ,ART,81,0,NW,304.0,"{'paths': [[[-13618508.9758975, 6040952.77573183], [-13618574.3794219, 6041060.84890448], [-13618580.2143555, 6041070.49021344]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",304.246211837259,0,25,INSVC,ALASKAN WAY,Downtown,AC/PCC, ,44,137.59221297213801,3,MINOR TRANSIT ROUTE,ALASKAN WAY BETWEEN COLUMBIA ST AND MARION ST,050450080,MARION ST,COLUMBIA ST
7485,7485,1,Principal Arterial,1100,8721,SE,NW,7486, ,29632,ALASKAN WAY AND SENECA ST,ALASKAN WAY AND SPRING ST,Y,6274,N, , ,ART,78,0,NW,303.0,"{'paths': [[[-13618725.309487, 6041306.10503254], [-13618801.1858399, 6041420.15361064]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",302.92238127666,1,25,INSVC,ALASKAN WAY,Downtown,PCC, ,47,136.98284234729,3,MINOR TRANSIT ROUTE,ALASKAN WAY BETWEEN SPRING ST AND SENECA ST,050450110,SENECA ST,SPRING ST
7488,7488,0,Not Designated,1200,8749,SE,NW,7489,F,29626,ALASKAN E RDWY WAY AND UNIVERSITY ST,ALASKAN E RDWY WAY AND SENECA ST,N,6277,Y,NW, ,NON-ART,0,0,NW,307.0,"{'paths': [[[-13618752.518714, 6041451.77259758], [-13618830.6352367, 6041566.53744254]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",307.006339482109,0,20,INSVC,ALASKAN E RDWY WAY,Downtown Neighborhood Access,AC, ,0,138.827809759681,0,NOT DESIGNATED,ALASKAN E RDWY WAY BETWEEN SENECA ST AND UNIVERSITY ST,050550120,UNIVERSITY ST,SENECA ST
7489,7489,0,Not Designated,1300,8750,SE,NW,7490,F,29627,ALASKAN E RDWY WAY AND UNION ST,ALASKAN E RDWY WAY AND UNIVERSITY ST,N,6278,Y,NW, ,NON-ART,0,0,NW,427.0,"{'paths': [[[-13618830.6352367, 6041566.53744254], [-13618930.3559793, 6041732.07154505]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",427.284894153152,0,20,INSVC,ALASKAN E RDWY WAY,Downtown Neighborhood Access,AC, ,0,193.25052549197898,0,NOT DESIGNATED,ALASKAN E RDWY WAY BETWEEN UNIVERSITY ST AND UNION ST,050550130,UNION ST,UNIVERSITY ST
7493,7493,0,Not Designated,900,8779,SW,NE,7494, ,30398,ALDER ST AND TERRY AVE,9TH AVE AND ALDER ST,N,6282,N, , ,NON-ART,17,0,NE,321.0,"{'paths': [[[-13616910.8184097, 6041128.97659474], [-13616897.3149778, 6041137.33799059], [-13616787.716998, 6041205.30205223]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",320.719199951594,4,20,INSVC,ALDER ST,Urban Village Neighborhood Access,AC, ,30,144.843135555749,5,TEMPORARY TRANSIT ROUTE,ALDER ST BETWEEN 9TH AVE AND TERRY AVE,050850090,TERRY AVE,9TH AVE
7499,7499,0,Not Designated,800,8816,W,E,7500, ,28732,9TH AVE N AND WESTLAKE AVE N,8TH AVE N AND ALOHA ST,N,6288,N, , ,NON-ART,63,0,E,346.0,"{'paths': [[[-13618940.0334457, 6045045.84348394], [-13618909.226398, 6045045.65050944], [-13618814.1050355, 6045047.36156959], [-13618784.4652559, 6045051.97328226]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",345.42404182964304,3,20,INSVC,ALOHA ST,Urban Village Neighborhood Access,PCC, ,40,155.940809710011,0,NOT DESIGNATED,ALOHA ST BETWEEN 8TH AVE N AND 9TH AVE N,051150080,9TH AVE N,8TH AVE N
7500,7500,0,Not Designated,1300,8819,W,E,7501, ,29098,ALOHA ST AND EASTLAKE AVE E,ALOHA ST AND YALE AVE N,N,6289,N, , ,NON-ART,28,0,E,402.0,"{'paths': [[[-13617807.6628093, 6045000.99984474], [-13617626.068664, 6045003.43396601]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",402.292507010513,10,20,INSVC,ALOHA ST,Urban Village Neighborhood Access,PCC, ,30,181.61045836457802,0,NOT DESIGNATED,ALOHA ST BETWEEN YALE AVE N AND EASTLAKE AVE E,051150130,EASTLAKE AVE E,YALE AVE N
7531,7531,0,Not Designated,5300,9045,SE,NW,7532, ,25165,22ND AVE NW AND BALLARD AVE NW,BALLARD AVE NW AND NW VERNON PL,N,6320,N, , ,NON-ART,0,0,NW,593.0,"{'paths': [[[-13623635.4036552, 6051535.57389118], [-13623786.1946465, 6051725.60593999], [-13623807.5432262, 6051739.97645171]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",592.861324410906,2,20,INSVC,BALLARD AVE NW,Urban Village Neighborhood Access,AC, ,46,268.32507530111803,0,NOT DESIGNATED,BALLARD AVE NW BETWEEN NW VERNON PL AND 22ND AVE NW,053100530,22ND AVE NW,NW VERNON PL
7532,7532,0,Not Designated,5400,9063,SE,NW,7533, ,25159,BARNES AVE NW AND NW MARKET ST,17TH AVE NW AND BARNES AVE NW,N,6321,N, , ,NON-ART,50,0,NW,581.0,"{'paths': [[[-13623155.1373206, 6051704.04801442], [-13623315.3532762, 6051905.77190754], [-13623318.5585495, 6051909.80631544]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",580.504298402586,2,20,INSVC,BARNES AVE NW,Urban Village Neighborhood Access,PCC, ,32,262.760302396148,0,NOT DESIGNATED,BARNES AVE NW BETWEEN 17TH AVE NW AND NW MARKET ST,053400540,NW MARKET ST,17TH AVE NW
7534,7534,0,Not Designated,0,9071,SW,NE,7535,T,29705,BATTERY ST AND WESTERN AVE,BATTERY ST AND ELLIOTT AVE,N,6323,Y,SW, ,NON-ART,0,0,NE,322.0,"{'paths': [[[-13619887.6568011, 6042681.03684978], [-13619792.0118678, 6042790.8189254]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.055225727328,11,20,INSVC,BATTERY ST,Downtown Neighborhood Access,AC/PCC, ,0,145.602394834567,0,NOT DESIGNATED,BATTERY ST BETWEEN ELLIOTT AVE AND WESTERN AVE,053550005,WESTERN AVE,ELLIOTT AVE
7535,7535,0,Not Designated,0,9084,SW,NE,7536, ,35490,1ST AVE AND BAY ST,BAY ST AND WESTERN AVE,N,6324,N, , ,NON-ART,0,0,NE,322.0,"{'paths': [[[-13620606.7289333, 6043504.68419496], [-13620511.1799289, 6043614.53087389]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.992156474542,7,20,INSVC,BAY ST,Downtown Neighborhood Access,AC/PCC, ,0,145.588135205641,0,NOT DESIGNATED,BAY ST BETWEEN WESTERN AVE AND 1ST AVE,053750005,1ST AVE,WESTERN AVE
7551,7551,0,Not Designated,400,9201,SW,NE,7552,T,29533,5TH AVE AND BELL ST,4TH AVE AND BELL ST,N,6340,Y,SW, ,NON-ART,0,0,NE,322.0,"{'paths': [[[-13619264.4804469, 6043102.81115322], [-13619168.805849, 6043212.46651405]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.87205236862997,1,20,INSVC,BELL ST,Downtown Neighborhood Access,AC/PCC, ,0,145.526378513732,0,NOT DESIGNATED,BELL ST BETWEEN 4TH AVE AND 5TH AVE,054250040,5TH AVE,4TH AVE
7555,7555,0,Not Designated,1400,9232,S,N,7556, ,29888,BELMONT AVE AND E PIKE ST,BELMONT AVE AND E UNION ST,N,6344,N, , ,NON-ART,0,0,N,404.0,"{'paths': [[[-13617094.8168832, 6042709.47266783], [-13617096.3744239, 6042892.3548104]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",403.990939595699,8,20,INSVC,BELMONT AVE,Urban Village Neighborhood Access,PCC, ,25,182.88877495776902,0,NOT DESIGNATED,BELMONT AVE BETWEEN E UNION ST AND E PIKE ST,054600140,E PIKE ST,E UNION ST
7563,7563,0,Not Designated,200,9292,SW,NE,7564,F,29559,3RD AVE AND BLANCHARD ST,2ND AVE AND BLANCHARD ST,N,6352,Y,NE, ,NON-ART,46,0,NE,322.0,"{'paths': [[[-13619311.1217974, 6042756.41147622], [-13619215.428537, 6042866.20460645]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.141265433792,2,20,INSVC,BLANCHARD ST,Downtown Neighborhood Access,AC, ,44,145.642478497185,2,MAJOR TRANSIT ROUTE,BLANCHARD ST BETWEEN 2ND AVE AND 3RD AVE,055450020,3RD AVE,2ND AVE
7569,7569,0,Not Designated,200,9327,S,N,7570, ,28802,BOREN AVE N AND THOMAS ST,BOREN AVE N AND JOHN ST,N,6358,N, , ,NON-ART,97,0,N,426.0,"{'paths': [[[-13618366.366082, 6043817.27870853], [-13618365.3150661, 6044010.26624301]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",426.249922161923,8,20,INSVC,BOREN AVE N,Urban Village Neighborhood Access,PCC, ,32,192.990396391036,0,NOT DESIGNATED,BOREN AVE N BETWEEN JOHN ST AND THOMAS ST,055700020,THOMAS ST,JOHN ST
7577,7577,0,Not Designated,800,9368,SE,NW,7578, ,29789,BOYLSTON AVE AND MARION ST,BOYLSTON AVE AND BROADWAY,N,6366,N, , ,NON-ART,0,0,NW,188.0,"{'paths': [[[-13616684.4207061, 6042146.42514445], [-13616729.0597518, 6042218.97603199]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",188.33801645517102,1,20,INSVC,BOYLSTON AVE,Urban Village Neighborhood Access,AC/PCC, ,0,85.1837759401206,0,NOT DESIGNATED,BOYLSTON AVE BETWEEN BROADWAY AND MARION ST,056200080,MARION ST,BROADWAY
7584,7584,1,Principal Arterial,0,9412,SW,NE,7585, ,29678,1ST AVE AND BROAD ST,BROAD ST AND WESTERN AVE,Y,6373,N, , ,ART,92,0,NE,322.0,"{'paths': [[[-13620314.3557211, 6043248.81368924], [-13620218.7253602, 6043358.68175418]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.15582654196703,11,25,INSVC,BROAD ST,Downtown,AC/PCC, ,48,145.657672749938,3,MINOR TRANSIT ROUTE,BROAD ST BETWEEN WESTERN AVE AND 1ST AVE,057000005,1ST AVE,WESTERN AVE
7589,7589,2,Minor Arterial,1600,9448,S,N,7590, ,29736,BROADWAY AND XW E OLIVE ST,BROADWAY AND E PINE ST,N,6378,N, , ,ART,83,0,N,426.0,"{'paths': [[[-13616689.0194805, 6043080.74790998], [-13616691.0756054, 6043273.63069149]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",426.072850637031,3,25,INSVC,BROADWAY,Urban Village Neighborhood,PCC, ,52,192.89374031288997,2,MAJOR TRANSIT ROUTE,BROADWAY BETWEEN E PINE ST AND XW E OLIVE ST,057350160,XW E OLIVE ST,E PINE ST
7607,7607,2,Minor Arterial,5000,9556,N,S,7608, ,32770,CALIFORNIA AVE SW AND SW DAWSON N ST,CALIFORNIA AVE SW AND SW HUDSON ST,N,6396,N, , ,ART,73,65,S,380.0,"{'paths': [[[-13624045.4900299, 6033551.39950369], [-13624048.8576037, 6033379.63341811]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",379.904820623906,1,30,INSVC,CALIFORNIA AVE SW,Urban Village Neighborhood,AC/PCC,AC/PCC,96,171.799094030617,2,MAJOR TRANSIT ROUTE,CALIFORNIA AVE SW BETWEEN SW HUDSON ST AND SW DAWSON N ST,057900500,SW DAWSON N ST,SW HUDSON ST
7623,7623,1,Principal Arterial,100,12680,W,E,7624, ,28882,ROY ST AND WARREN AVE N,1ST AVE N AND ROY ST,Y,6824,N, , ,ART,73,0,E,322.0,"{'paths': [[[-13620540.4797555, 6044768.10736152], [-13620395.1486606, 6044767.29775994]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.942581586824,3,25,INSVC,ROY ST,Urban Village Main,AC/PCC, ,44,145.33334989607098,3,MINOR TRANSIT ROUTE,ROY ST BETWEEN 1ST AVE N AND WARREN AVE N,095200010,WARREN AVE N,1ST AVE N
7624,7624,2,Minor Arterial,500,12686,W,E,7625, ,28888,ROY ST AND TAYLOR AVE N,5TH AVE N AND ROY ST,N,6825,N, , ,ART,86,0,E,322.0,"{'paths': [[[-13619668.6156885, 6044763.26126216], [-13619523.2717309, 6044762.46212527]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.97112871673,6,25,INSVC,ROY ST,Urban Village Neighborhood,AC/PCC, ,30,145.346154584777,3,MINOR TRANSIT ROUTE,ROY ST BETWEEN 5TH AVE N AND TAYLOR AVE N,095200050,TAYLOR AVE N,5TH AVE N
7633,7633,0,Not Designated,0,12769,SW,NE,7634, ,29618,POST AVE AND SENECA ST,SENECA ST AND WESTERN AVE,N,6834,N, , ,NON-ART,0,0,NE,151.0,"{'paths': [[[-13618676.6595547, 6041499.17363985], [-13618618.6584088, 6041535.15618594]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",151.129650318009,4,20,INSVC,SENECA ST,Downtown Neighborhood Access,AC, ,0,68.2559634864086,0,NOT DESIGNATED,SENECA ST BETWEEN WESTERN AVE AND POST AVE,096150007,POST AVE,WESTERN AVE
7634,7634,1,Principal Arterial,300,12773,SW,NE,7635,T,29602,4TH AVE AND SENECA ST,3RD AVE AND SENECA ST,Y,6835,Y,SW, ,ART,71,0,NE,322.0,"{'paths': [[[-13618305.9424333, 6041729.2083875], [-13618182.3499878, 6041805.93668962]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.090379040309,12,25,INSVC,SENECA ST,Downtown,AC/PCC, ,42,145.472763475854,3,MINOR TRANSIT ROUTE,SENECA ST BETWEEN 3RD AVE AND 4TH AVE,096150030,4TH AVE,3RD AVE
7635,7635,2,Minor Arterial,1200,12782,SW,NE,7636, ,29899,SENECA ST AND SUMMIT AVE,MINOR AVE AND SENECA ST,N,6836,N, , ,ART,72,0,NE,322.0,"{'paths': [[[-13617193.9343924, 6042419.28802191], [-13617070.2685854, 6042496.02408547]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.211810302093,2,25,INSVC,SENECA ST,Urban Village Neighborhood,PCC, ,11,145.53918804889298,3,MINOR TRANSIT ROUTE,SENECA ST BETWEEN MINOR AVE AND SUMMIT AVE,096150120,SUMMIT AVE,MINOR AVE
7647,7647,0,Not Designated,1000,12869,SW,NE,7648, ,29919,BOREN AVE AND SPRING ST,SPRING ST AND TERRY AVE,N,6848,N, , ,NON-ART,76,0,NE,322.0,"{'paths': [[[-13617368.4421943, 6042148.11521109], [-13617244.8368831, 6042224.80523619]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.054457014406,5,20,INSVC,SPRING ST,Urban Village Neighborhood Access,AC, ,30,145.46351051517098,0,NOT DESIGNATED,SPRING ST BETWEEN TERRY AVE AND BOREN AVE,097350100,BOREN AVE,TERRY AVE
7648,7648,0,Not Designated,1200,12871,SW,NE,7649, ,29905,SPRING ST AND SUMMIT AVE,MINOR AVE AND SPRING ST,N,6849,N, , ,NON-ART,83,0,NE,322.0,"{'paths': [[[-13617121.2476203, 6042301.47606387], [-13617086.8686064, 6042322.79679517], [-13616997.6043856, 6042378.18179305]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.13843548628995,1,20,INSVC,SPRING ST,Urban Village Neighborhood Access,AC, ,30,145.504015714274,0,NOT DESIGNATED,SPRING ST BETWEEN MINOR AVE AND SUMMIT AVE,097350120,SUMMIT AVE,MINOR AVE
7653,7653,2,Minor Arterial,100,12897,SW,NE,7654,T,29584,2ND AVE AND STEWART ST,1ST AVE AND STEWART ST,N,6854,Y,SW, ,ART,92,0,NE,334.0,"{'paths': [[[-13618976.0539556, 6042261.61116121], [-13618972.5362445, 6042265.64921984], [-13618920.7147563, 6042325.08005975], [-13618876.8355441, 6042375.41904737]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",333.97783712263,2,25,INSVC,STEWART ST,Downtown Neighborhood,AC/PCC, ,42,150.985192671773,1,PRINCIPAL TRANSIT ROUTE,STEWART ST BETWEEN 1ST AVE AND 2ND AVE,098000010,2ND AVE,1ST AVE
7654,7654,1,Principal Arterial,400,12900,SW,NE,7655,T,29565,5TH AVE AND STEWART ST,4TH AVE AND STEWART ST,Y,6855,Y,SW, ,ART,70,98,NE,322.0,"{'paths': [[[-13618685.3982305, 6042595.02305146], [-13618589.7801879, 6042704.73319427]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.899589096097,6,25,INSVC,STEWART ST,Downtown,AC/PCC,PCC,40,145.530496843643,1,PRINCIPAL TRANSIT ROUTE,STEWART ST BETWEEN 4TH AVE AND 5TH AVE,098000040,5TH AVE,4TH AVE
7655,7655,1,Principal Arterial,1100,12908,SW,NE,7656,T,29851,MINOR AVE AND STEWART ST,BOREN AVE AND STEWART ST,Y,6856,Y,SW, ,ART,92,85,NE,322.0,"{'paths': [[[-13618015.8934729, 6043363.075162], [-13617930.0081695, 6043461.58146592], [-13617920.2027144, 6043472.82759183]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.047277770812,1,25,INSVC,STEWART ST,Downtown,AC/PCC,PCC,48,145.610154580263,1,PRINCIPAL TRANSIT ROUTE,STEWART ST BETWEEN BOREN AVE AND MINOR AVE,098000110,MINOR AVE,BOREN AVE
7666,7666,0,Not Designated,1100,12982,SE,NW,7667, ,29770,SENECA ST AND SUMMIT AVE,SPRING ST AND SUMMIT AVE,N,6867,N, , ,NON-ART,15,0,NW,306.0,"{'paths': [[[-13616997.6043856, 6042378.18179305], [-13617070.2685854, 6042496.02408547]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",306.087297349328,2,20,INSVC,SUMMIT AVE,Urban Village Neighborhood Access,AC, ,32,138.444544228869,0,NOT DESIGNATED,SUMMIT AVE BETWEEN SPRING ST AND SENECA ST,098750110,SENECA ST,SPRING ST
7676,7676,0,Not Designated,5200,13064,SE,NW,7677, ,25161,TALLMAN AVE NW AND NW CENTRAL PL,TALLMAN AVE NW AND NW IONE PL,N,6877,N, , ,NON-ART,80,0,NW,333.0,"{'paths': [[[-13623191.4168143, 6051556.94613948], [-13623285.0962688, 6051674.91684524]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",332.813129310281,2,20,INSVC,TALLMAN AVE NW,Urban Village Neighborhood Access,PCC, ,32,150.641719328594,0,NOT DESIGNATED,TALLMAN AVE NW BETWEEN NW IONE PL AND NW CENTRAL PL,099750520,NW CENTRAL PL,NW IONE PL
7677,7677,0,Not Designated,300,13075,S,N,7678, ,28927,HARRISON ST AND TAYLOR AVE N,TAYLOR AVE N AND THOMAS ST,N,6878,N, , ,NON-ART,81,0,N,425.0,"{'paths': [[[-13619527.4172721, 6044016.6956036], [-13619526.3422457, 6044209.48641355]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",425.80590867895205,2,20,INSVC,TAYLOR AVE N,Urban Village Neighborhood Access,PCC, ,56,192.79380717223702,0,NOT DESIGNATED,TAYLOR AVE N BETWEEN THOMAS ST AND HARRISON ST,100150030,HARRISON ST,THOMAS ST
7681,7681,0,Not Designated,700,13105,SE,NW,7682, ,29941,COLUMBIA ST AND TERRY AVE,CHERRY ST AND TERRY AVE,N,6882,N, , ,NON-ART,13,0,NW,306.0,"{'paths': [[[-13617078.0733265, 6041676.75812978], [-13617150.6769019, 6041794.57886082]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",306.001008226272,0,20,INSVC,TERRY AVE,Urban Village Neighborhood Access,AC, ,28,138.394377838809,0,NOT DESIGNATED,TERRY AVE BETWEEN CHERRY ST AND COLUMBIA ST,100400070,COLUMBIA ST,CHERRY ST
7683,7683,0,Not Designated,2000,13116,SE,NW,7684,F,29523,LENORA ST AND TERRY AVE,TERRY AVE AND VIRGINIA ST,N,6884,Y,NW, ,NON-ART,95,0,NW,426.0,"{'paths': [[[-13618256.2121418, 6043380.33362862], [-13618400.9601647, 6043507.27926372]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",425.98918225548897,5,20,INSVC,TERRY AVE,Downtown Neighborhood Access,AC, ,24,192.528398958818,3,MINOR TRANSIT ROUTE,TERRY AVE BETWEEN VIRGINIA ST AND LENORA ST,100400200,LENORA ST,VIRGINIA ST
7684,7684,0,Not Designated,300,13120,S,N,7685,F,28794,HARRISON ST AND TERRY AVE N,TERRY AVE N AND THOMAS ST,N,6885,Y,N, ,NON-ART,0,0,N,426.0,"{'paths': [[[-13618510.4775737, 6044011.12101286], [-13618509.4096221, 6044203.93892315]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",425.865948339018,3,20,INSVC,TERRY AVE N,Urban Village Neighborhood Access,PCC, ,34,192.82086777737203,0,NOT DESIGNATED,TERRY AVE N BETWEEN THOMAS ST AND HARRISON ST,100450030,HARRISON ST,THOMAS ST
7685,7685,0,Not Designated,900,13139,W,E,7686, ,28790,THOMAS ST AND WESTLAKE AVE N,9TH AVE N AND THOMAS ST,N,6886,N, , ,NON-ART,51,0,E,321.0,"{'paths': [[[-13618800.7747409, 6044012.76573401], [-13618655.6698841, 6044011.96507988]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.46957363351896,2,20,INSVC,THOMAS ST,Urban Village Neighborhood Access,PCC, ,40,145.107065724781,0,NOT DESIGNATED,THOMAS ST BETWEEN 9TH AVE N AND WESTLAKE AVE N,100550090,WESTLAKE AVE N,9TH AVE N
7686,7686,0,Not Designated,1000,13141,W,E,7687, ,28794,BOREN AVE N AND THOMAS ST,TERRY AVE N AND THOMAS ST,N,6887,N, , ,NON-ART,0,0,E,322.0,"{'paths': [[[-13618510.4775737, 6044011.12101286], [-13618365.3150661, 6044010.26624301]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.598033063292,10,20,INSVC,THOMAS ST,Urban Village Neighborhood Access,PCC, ,0,145.165024220588,0,NOT DESIGNATED,THOMAS ST BETWEEN TERRY AVE N AND BOREN AVE N,100550100,BOREN AVE N,TERRY AVE N
7687,7687,0,Not Designated,1200,13144,W,E,7688, ,29149,PONTIUS AVE N AND THOMAS ST,MINOR AVE N AND THOMAS ST,N,6888,N, , ,NON-ART,29,0,E,316.0,"{'paths': [[[-13618045.7525659, 6044001.97750286], [-13617902.9735634, 6044002.56135419]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",316.315021786952,3,20,INSVC,THOMAS ST,Urban Village Neighborhood Access,AC, ,38,142.78019624067198,0,NOT DESIGNATED,THOMAS ST BETWEEN MINOR AVE N AND PONTIUS AVE N,100550120,PONTIUS AVE N,MINOR AVE N
7692,7692,1,Principal Arterial,200,13180,SW,NE,7693,T,29600,3RD AVE AND UNION ST,2ND AVE AND UNION ST,N,6893,Y,SW, ,ART,20,0,NE,322.0,"{'paths': [[[-13618603.3480363, 6041934.257397], [-13618479.6992867, 6042010.88072547]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",322.066860120547,6,25,INSVC,UNION ST,Downtown,AC/PCC, ,30,145.465280176224,3,MINOR TRANSIT ROUTE,UNION ST BETWEEN 2ND AVE AND 3RD AVE,101000020,3RD AVE,2ND AVE
7693,7693,1,Principal Arterial,500,13183,SW,NE,7694,T,29913,6TH AVE AND UNION ST,5TH AVE AND UNION ST,N,6894,Y,SW, ,ART,80,0,NE,322.0,"{'paths': [[[-13618232.6806833, 6042164.30727226], [-13618114.355271, 6042237.76807388], [-13618109.167079, 6042240.99149485]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.87430238393,2,25,INSVC,UNION ST,Downtown,PCC, ,46,145.382531680229,3,MINOR TRANSIT ROUTE,UNION ST BETWEEN 5TH AVE AND 6TH AVE,101000050,6TH AVE,5TH AVE
7695,7695,1,Principal Arterial,400,13203,SW,NE,7696,F,29931,5TH AVE AND UNIVERSITY ST,4TH AVE AND UNIVERSITY ST,N,6896,Y,NE, ,ART,57,0,NE,322.0,"{'paths': [[[-13618255.0259739, 6041923.64994358], [-13618239.1844237, 6041933.49105001], [-13618131.5171991, 6042000.3747527]]], 'spatialReference': {'wkid': 102100, 'latestWkid': 3857}}",321.921400387648,4,25,INSVC,UNIVERSITY ST,Downtown,AC/PCC, ,55,145.399841114928,3,MINOR TRANSIT ROUTE,UNIVERSITY ST BETWEEN 4TH AVE AND 5TH AVE,101150040,5TH AVE,4TH AVE
